id_point;lat;lon;nom;equipement;bus;rue;numrue;tourism
4133742931;43.4884223;-1.4771552;;;;;13;
4133742932;43.4892973;-1.4762565;;;;;14;
4133742933;43.4886693;-1.4766476;;;;;14;
4133742934;43.4884089;-1.4773594;;;;;14;
4133742935;43.488945;-1.4758571;;;;;14;
4133742936;43.4888701;-1.4764105;;;;;15;
4133742937;43.488644;-1.4767874;;;;;15;
4133742938;43.4896676;-1.4760402;;;;;15;
4133742939;43.488387;-1.477525;;;;;15;
4133742940;43.4894667;-1.4762047;;;;;16;
4133742941;43.4886754;-1.4766958;;;;;16;
4133742942;43.4897349;-1.4754739;;;;;16;
4133742943;43.4883669;-1.4777946;;;;;16;
4133742944;43.488896;-1.4765318;;;;;17;
4133742945;43.488653;-1.4768704;;;;;17;
4133742946;43.489674;-1.4761074;;;;;17;
4133742947;43.4895967;-1.4761648;;;;;18;
4133742948;43.4886832;-1.4767624;;;;;18;
4133742949;43.4897334;-1.4755213;;;;;18;
4133742950;43.4890696;-1.4758535;;;;;18;
4133742951;43.4889114;-1.4766008;;;;;19;
4133742952;43.4886603;-1.4769511;;;;;19;
4133742953;43.4896873;-1.4762258;;;;;19;
4133742954;43.4885327;-1.4757295;;;;;2;
4133742955;43.4882098;-1.4783183;;;;Place de la Porte d'Espagne;2;
4133742956;43.4886405;-1.4762192;;;;;2;
4133742957;43.4883906;-1.4758416;;;;;2;
4133742958;43.4886427;-1.4758555;;;;;2;
4133742959;43.4890413;-1.4769857;;;;;20;
4133742960;43.4886897;-1.4768252;;;;;20;
4133742961;43.4897312;-1.4755987;;;;;20;
4133742962;43.4891392;-1.4758602;;;;;20;
4133742963;43.4896954;-1.4762817;;;;;21;
4133742964;43.4890619;-1.4770813;;;;;22;
4133742965;43.4897299;-1.4756504;;;;;22;
4133742966;43.4891948;-1.4758483;;;;;22;
4133742967;43.488932;-1.476693;;;;;23;
4133742968;43.4887239;-1.477406;;;;;23;
4133742969;43.4897034;-1.4763358;;;;;23;
4133742970;43.4890952;-1.4772355;;;;;24;
4133742971;43.4886984;-1.4769042;;;;;24;
4133742972;43.4892385;-1.475847;;;;;24;
4133742973;43.4889557;-1.4767997;;;;;25;
4133742974;43.4887532;-1.4775126;;;;;25;
4133742975;43.4897119;-1.4763947;;;;;25;
4133742976;43.4887053;-1.4769698;;;;;26;
4133742977;43.489275;-1.4758461;;;;;26;
4133742978;43.48897;-1.4768632;;;;;27;
4133742979;43.4897207;-1.4764541;;;;;27;
4133742980;43.4887135;-1.477033;;;;;28;
4133742981;43.4897232;-1.476;;;;;28;
4133742982;43.4889829;-1.4769209;;;;;29;
4133742983;43.4897311;-1.4765274;;;;;29;
4133742984;43.4885163;-1.4773244;;;;;3;
4133742985;43.488735;-1.4760827;;;;;3;
4133742986;43.4886055;-1.4762833;;;;;3;
4133742987;43.4896582;-1.4753351;;;;;3;
4133742988;43.4884697;-1.4759609;;;;;3;
4133743489;43.4889092;-1.4759522;;;;;3;
4133743490;43.4887229;-1.4770915;;;;;30;
4133743491;43.4897311;-1.4760719;;;;;30;
4133743492;43.4889963;-1.4769811;;;;;31;
4133743493;43.4897407;-1.476594;;;;;31;
4133743494;43.488733;-1.4771686;;;;;32;
4133743495;43.4897369;-1.4761303;;;;;32;
4133743496;43.4890117;-1.4770483;;;;;33;
4133743497;43.489751;-1.4766582;;;;;33;
4133743498;43.4887469;-1.4772753;;;;;34;
4133743499;43.4897426;-1.4761922;;;;;34;
4133743500;43.4890296;-1.4771239;;;;;35;
4133743501;43.4897721;-1.4767798;;;;;35;
4133743502;43.4887703;-1.4774231;;;;;36;
4133743503;43.4897483;-1.4762593;;;;;36;
4133743504;43.4895606;-1.4758051;;;;;36;
4133743505;43.48904;-1.4771671;;;;;37;
4133743506;43.4887974;-1.4775411;;;;;38;
4133743507;43.4897542;-1.4763243;;;;;38;
